season,week,game_date,punter,punting_team_pfr,dst_team_pfr,game_location,result,punt_attempts,punt_yards,punt_blocks
1936,14,1936-12-13,Riley Smith,BOS,GNB,,L 6-21,8,340,2
1938,14,1938-12-11,Cecil Isbell,GNB,NYG,@,L 17-23,1,0,1
1939,14,1939-12-10,Clarke Hinkle,GNB,NYG,,W 27-0,3,171,2
1943,14,1943-12-19,Len Younce,NYG,WAS,,L 0-28,10,362,1
1946,2,1946-09-13,Glenn Dobbs,BDA,LAD,@,L 14-20,6,252,1
1946,3,1946-09-20,Ace Parker,NYY,CHR,@,T 17-17,3,73,1
1946,3,1946-09-20,Bob Kennedy,NYY,CHR,@,T 17-17,3,88,1
1946,3,1946-09-20,Cotton Price,MIA,LAD,@,L 14-30,4,105,1
1946,3,1946-09-22,Harry Hopp,BUF,CLE,,L 0-28,2,27,1
1946,4,1946-09-29,Bob Reinhard,LAD,BUF,@,T 21-21,2,35,1
1946,4,1946-09-29,Harry Hopp,BUF,LAD,,T 21-21,6,204,1
1946,5,1946-10-05,Walt Williams,CHR,LAD,,L 9-21,6,221,1
1946,7,1946-10-19,Spec Sanders,NYY,BDA,,W 21-10,1,0,1
1946,8,1946-10-27,Spec Sanders,NYY,LAD,@,W 31-17,2,31,1
1946,9,1946-11-02,Pres Johnston,BUF,SFO,@,L 14-27,5,160,1
1946,10,1946-11-10,Ace Parker,NYY,LAD,,W 17-12,4,117,1
1946,11,1946-11-17,Glenn Dobbs,BDA,LAD,,L 14-19,5,176,1
1946,12,1946-11-25,Kay Eakin,MIA,LAD,,L 21-34,8,305,1
1946,13,1946-11-30,Ernie Lewis,CHR,SFO,@,L 0-14,3,70,1
1947,1,1947-08-31,Frankie Sinkwich,NYY,BUF,@,L 24-28,2,46,1
1947,2,1947-09-05,Bob Kennedy,NYY,CHR,,W 48-26,1,8,1
1947,2,1947-09-05,Ernie Lewis,CHR,NYY,@,L 26-48,7,275,1
1947,2,1947-09-07,Bob Reinhard,LAD,SFO,@,L 14-17,6,213,1
1947,3,1947-09-14,John Galvin,BCL,SFO,@,L 7-14,6,204,1
1947,5,1947-09-28,Bob Kennedy,NYY,BCL,@,W 21-7,1,0,1
1947,6,1947-10-03,Bob Perina,BDA,CHR,@,W 35-31,1,9,1
1947,7,1947-10-12,Bob Hoernschemeyer,BDA,NYY,@,L 7-31,1,5,1
1947,7,1947-10-12,Bob Perina,BDA,NYY,@,L 7-31,1,18,1
1947,9,1947-10-24,Ernie Lewis,CHR,NYY,,L 7-28,6,229,1
1947,9,1947-10-26,Ernie Case,BCL,LAD,@,L 0-56,4,99,1
1947,10,1947-10-31,Ernie Lewis,CHR,BDA,@,L 3-7,7,253,1
